,Date,DateOrdinary,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
0,2016-02-04,735998,E02271,numberofsubmissiondei,1,FilingDateInstant,Instant,2016-02-04,na,
1,2014-12-31,735598,E02271,netsalessummaryofbusinessresults,617819000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
2,2015-12-31,735963,E02271,netsalessummaryofbusinessresults,617390000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
3,2015-03-31,735688,E02271,netsalessummaryofbusinessresults,857782000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,
4,2014-12-31,735598,E02271,ordinaryincomelosssummaryofbusinessresults,27843000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
5,2015-12-31,735963,E02271,ordinaryincomelosssummaryofbusinessresults,35224000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
6,2015-03-31,735688,E02271,ordinaryincomelosssummaryofbusinessresults,46368000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,
7,2014-12-31,735598,E02271,profitlossattributabletoownersofparentsummaryofbusinessresults,16732000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
8,2015-12-31,735963,E02271,profitlossattributabletoownersofparentsummaryofbusinessresults,21461000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
9,2015-03-31,735688,E02271,profitlossattributabletoownersofparentsummaryofbusinessresults,18364000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,
10,2014-12-31,735598,E02271,comprehensiveincomesummaryofbusinessresults,51813000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
11,2015-12-31,735963,E02271,comprehensiveincomesummaryofbusinessresults,11591000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
12,2015-03-31,735688,E02271,comprehensiveincomesummaryofbusinessresults,49432000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,
13,2014-12-31,735598,E02271,netassetssummaryofbusinessresults,574627000000,Prior1QuarterInstant,Instant,2014-12-31,na,
14,2015-12-31,735963,E02271,netassetssummaryofbusinessresults,571015000000,CurrentQuarterInstant,Instant,2015-12-31,na,
15,2015-03-31,735688,E02271,netassetssummaryofbusinessresults,572200000000,Prior1YearInstant,Instant,2015-03-31,na,
16,2014-12-31,735598,E02271,totalassetssummaryofbusinessresults,998075000000,Prior1QuarterInstant,Instant,2014-12-31,na,
17,2015-12-31,735963,E02271,totalassetssummaryofbusinessresults,1031801000000,CurrentQuarterInstant,Instant,2015-12-31,na,
18,2015-03-31,735688,E02271,totalassetssummaryofbusinessresults,972945000000,Prior1YearInstant,Instant,2015-03-31,na,
19,2014-12-31,735598,E02271,netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,38313000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
20,2015-12-31,735963,E02271,netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,83028000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
21,2015-03-31,735688,E02271,netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,71309000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,
22,2014-12-31,735598,E02271,cashandcashequivalentssummaryofbusinessresults,232161000000,Prior1QuarterInstant,Instant,2014-12-31,na,
23,2015-12-31,735963,E02271,cashandcashequivalentssummaryofbusinessresults,233529000000,CurrentQuarterInstant,Instant,2015-12-31,na,
24,2015-03-31,735688,E02271,cashandcashequivalentssummaryofbusinessresults,259625000000,Prior1YearInstant,Instant,2015-03-31,na,
25,2015-03-31,735688,E02271,cashanddeposits,262501000000,Prior1YearInstant,Instant,2015-03-31,na,
26,2015-12-31,735963,E02271,cashanddeposits,251580000000,CurrentQuarterInstant,Instant,2015-12-31,na,
27,2015-03-31,735688,E02271,notesandaccountsreceivabletrade,131554000000,Prior1YearInstant,Instant,2015-03-31,na,
28,2015-12-31,735963,E02271,notesandaccountsreceivabletrade,127060000000,CurrentQuarterInstant,Instant,2015-12-31,na,
29,2015-03-31,735688,E02271,merchandiseandfinishedgoods,88072000000,Prior1YearInstant,Instant,2015-03-31,na,
30,2015-12-31,735963,E02271,merchandiseandfinishedgoods,112081000000,CurrentQuarterInstant,Instant,2015-12-31,na,
31,2015-03-31,735688,E02271,workinprocess,121929000000,Prior1YearInstant,Instant,2015-03-31,na,
32,2015-12-31,735963,E02271,workinprocess,129156000000,CurrentQuarterInstant,Instant,2015-12-31,na,
33,2015-03-31,735688,E02271,rawmaterialsandsupplies,29980000000,Prior1YearInstant,Instant,2015-03-31,na,
34,2015-12-31,735963,E02271,rawmaterialsandsupplies,28082000000,CurrentQuarterInstant,Instant,2015-12-31,na,
35,2015-03-31,735688,E02271,otherca,55637000000,Prior1YearInstant,Instant,2015-03-31,na,
36,2015-12-31,735963,E02271,otherca,67698000000,CurrentQuarterInstant,Instant,2015-12-31,na,
37,2015-03-31,735688,E02271,currentassets,685516000000,Prior1YearInstant,Instant,2015-03-31,na,
38,2015-12-31,735963,E02271,currentassets,712097000000,CurrentQuarterInstant,Instant,2015-12-31,na,
