,E01615,E27064,E26813,E00863,E02877,E01697,E03355,E05254,E00947,E05353,E01573,E01206,E03186,E03219,E04760,E02873,E04036,E01254,E01495,E01971
Prior1YearInstant_NonConsolidatedMember_ValuationAndTranslationAdjustmentsMember,8,6.0,,4.0,,5.0,,6.0,,4.0,5.0,5.0,,4.0,7.0,2.0,,8.0,5.0,10.0
CurrentYTDDuration_OtherReportableSegmentsMember,6,,,,,,,,,,,,,,6.0,,,,,
CurrentYearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000EnvironmentEquipmentReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentQuarterInstant_No9MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
CurrentYearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000OtherMachineReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
Prior1YearInstant_ShareholdersEquityMember,2,6.0,4.0,4.0,6.0,,4.0,6.0,6.0,4.0,5.0,5.0,,,2.0,2.0,6.0,8.0,6.0,10.0
CurrentQuarterInstant_No3MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
Prior1YTDDuration_jpcrp040300-q2r_E01615-000CrusherAndGrinderReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q3r_E01615-000LiningProductsReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_jpcrp040300-q1r_E01615-000ServiceRevenueReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_jpcrp040300-q3r_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000CrusherAndGrinderReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
Prior1YearDuration,13,202.0,183.0,147.0,278.0,,145.0,221.0,159.0,186.0,187.0,175.0,,,147.0,77.0,244.0,238.0,173.0,461.0
Prior1YearInstant_NonConsolidatedMember_TotalOfReportableSegmentsAndOthersMember,2,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_jpcrp040300-q1r_E01615-000OtherMachineReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_ValuationDifferenceOnAvailableForSaleSecuritiesMember,4,6.0,4.0,2.0,,,,6.0,4.0,4.0,4.0,4.0,,,2.0,2.0,2.0,4.0,4.0,8.0
Prior1YearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000CrusherAndGrinderReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_jpcrp030000-asr_E01615-000ServiceRevenueReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_NonConsolidatedMember,5,,,,,220.0,,,,,,,174.0,209.0,,,,,,
Prior1YearNonConsolidatedInstant,364,65.0,,212.0,137.0,233.0,184.0,109.0,207.0,200.0,225.0,224.0,272.0,250.0,221.0,257.0,174.0,283.0,203.0,114.0
CurrentYearInstant_jpcrp030000-asr_E01615-000EnvironmentEquipmentReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q2r_E01615-000CrusherAndGrinderReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_TotalOfReportableSegmentsAndOthersMember,2,,,,6.0,,,,,2.0,5.0,2.0,,,1.0,1.0,,3.0,2.0,
Prior1YearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000ServiceRevenueReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_NonConsolidatedMember_ValuationDifferenceOnAvailableForSaleSecuritiesMember,4,6.0,,2.0,,6.0,,6.0,4.0,4.0,4.0,4.0,2.0,4.0,6.0,2.0,2.0,4.0,4.0,10.0
Prior1YearDuration_NonConsolidatedMember_ShareholdersEquityMember,4,9.0,6.0,4.0,7.0,7.0,4.0,8.0,6.0,4.0,3.0,3.0,2.0,3.0,12.0,2.0,11.0,7.0,4.0,12.0
Prior1YTDDuration_ReportableSegmentsMember,10,,,,26.0,,,,,15.0,,,,,,8.0,18.0,19.0,21.0,
CurrentYearInstant_No9MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
CurrentYearInstant_jpcrp030000-asr_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
Prior1YearInstant,126,420.0,481.0,373.0,436.0,,349.0,354.0,364.0,309.0,402.0,432.0,,,229.0,146.0,442.0,468.0,363.0,664.0
CurrentYearDuration_NonConsolidatedMember_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,10,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_TotalOfReportableSegmentsAndOthersMember,22,,24.0,,26.0,,,,,16.0,24.0,19.0,,,8.0,8.0,,19.0,24.0,28.0
Prior1YTDDuration_jpcrp040300-q2r_E01615-000ServiceRevenueReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
CurrentYearInstant,122,207.0,133.0,104.0,171.0,3.0,112.0,155.0,101.0,145.0,142.0,142.0,2.0,2.0,87.0,60.0,174.0,192.0,116.0,337.0
CurrentYTDDuration_jpcrp040300-q3r_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,10,,,,21.0,,,,,16.0,,,,,3.0,8.0,,19.0,18.0,
CurrentYearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000ServiceRevenueReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentQuarterInstant,239,233.0,363.0,274.0,266.0,2.0,233.0,200.0,264.0,167.0,267.0,294.0,2.0,2.0,148.0,89.0,270.0,273.0,248.0,334.0
CurrentYearDuration_NonConsolidatedMember_RetainedEarningsMember,4,6.0,4.0,4.0,,6.0,4.0,6.0,4.0,4.0,3.0,1.0,2.0,,9.0,2.0,6.0,3.0,4.0,10.0
Prior1YearInstant_NonConsolidatedMember_ReserveForDividends1Member,8,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_ValuationDifferenceOnAvailableForSaleSecuritiesMember,4,3.0,,2.0,,3.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,,3.0,2.0,5.0
Prior1YTDDuration_jpcrp040300-q3r_E01615-000ServiceRevenueReportableSegmentsMember,4,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_No6MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
CurrentQuarterInstant_No10MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
Prior1YearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000CrusherAndGrinderReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q1r_E01615-000OtherMachineReportableSegmentsMember,5,,,,,,,,,,,,,,,,,,,
CurrentQuarterInstant_No5MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
CurrentQuarterInstant_No2MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
CurrentYearInstant_NonConsolidatedMember_LegalCapitalSurplusMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
Prior1YTDDuration_jpcrp040300-q3r_E01615-000EnvironmentEquipmentReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q3r_E01615-000CrusherAndGrinderReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
Prior1YearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000OtherMachineReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
Prior1YearInstant_NonConsolidatedMember_ReserveForAdvancedDepreciationOfNoncurrentAssetsMember,8,,,,,,,,,,5.0,5.0,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_ReserveForDividends1Member,4,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_CapitalStockMember,2,3.0,2.0,2.0,3.0,,2.0,3.0,2.0,2.0,2.0,2.0,,,1.0,1.0,3.0,3.0,2.0,5.0
Prior2YearInstant,1,23.0,10.0,16.0,23.0,,16.0,23.0,17.0,15.0,17.0,17.0,,,22.0,9.0,20.0,22.0,20.0,37.0
Prior1YTDDuration_jpcrp040300-q1r_E01615-000LiningProductsReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000EnvironmentEquipmentReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
Prior2YearInstant_NonConsolidatedMember_ReserveForAdvancedDepreciationOfNoncurrentAssetsMember,4,,,,,,,,,,3.0,2.0,,,,,,,,
CurrentYTDDuration_jpcrp040300-q1r_E01615-000CrusherAndGrinderReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
Prior1YearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000LiningProductsReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
