コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,166.00,168.00,166.00,168.00,78000,13057000
1305-T,ETFTPX,東証,844.00,858.00,842.00,857.00,196700,166985600
1306-T,TOPIX投,東証,846.00,864.00,846.00,864.00,1432200,1226861310
1308-T,上場TPX,東証,830.00,846.00,829.00,846.00,228600,192229300
1309-O,上証50連,大証,20580.00,20840.00,20490.00,20840.00,2923,60337540
1310-T,ETF･コア30,東証,460.00,460.00,460.00,460.00,100,46000
1311-T,TOPIX30,東証,456.00,464.00,455.00,462.00,4150,1902030
1312-O,RN小型コア,大証,8740.00,8740.00,8740.00,8740.00,500,4370000
1313-T,KODEX200,東証,2099.00,2159.00,2071.00,2149.00,680,1445340
1314-T,上場新興,東証,611.00,611.00,611.00,611.00,500,305500
1316-T,上場大型,東証,580.00,581.00,580.00,581.00,30,17420
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,900.00,900.00,900.00,900.00,20,18000
1319-T,300投信,東証,144.00,145.00,144.00,145.00,9000,1302000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9650.00,9860.00,9650.00,9850.00,63510,621642200
1321-O,225投信,大証,9680.00,9890.00,9680.00,9880.00,464333,4563138890
1322-T,上場パンタ,東証,3550.00,3550.00,3500.00,3535.00,5750,20303950
1323-O,南ア40,大証,349.00,354.00,349.00,353.00,9600,3366200
1324-O,RTS連動,大証,157.00,158.00,157.00,157.00,27300,4290600
1325-T,ボベスパ,東証,288.00,292.00,286.00,292.00,66100,19079000
1326-T,SPDRゴール,東証,12130.00,12200.00,12110.00,12190.00,9673,117516110
1327-T,EASY商品,東証,4030.00,4050.00,4000.00,4020.00,472,1896635
1328-O,金連動,大証,3640.00,3660.00,3630.00,3655.00,27070,98663900
1329-T,iS225,東証,9690.00,9820.00,9660.00,9800.00,3440,33469600
1330-T,上場225,東証,9730.00,9930.00,9720.00,9900.00,527210,5188775900
1332-T,日水,東証1部,236.00,243.00,236.00,241.00,1524200,366623800
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,117.00,121.00,117.00,120.00,2801000,334733000
1343-T,REIT-ETF,東証,1102.00,1109.00,1100.00,1109.00,15540,17156440
1344-T,MXSコア30,東証,448.00,454.00,448.00,454.00,7440,3363560
1345-T,上場Jリート,東証,1065.00,1073.00,1064.00,1073.00,9100,9710300
1346-O,MXS225,大証,9690.00,9880.00,9690.00,9860.00,25901,253766400
1347-T,上場グリチ,東証,3245.00,3245.00,3245.00,3245.00,200,649000
1348-T,MXSトピクス,東証,839.00,852.00,837.00,852.00,135400,114632840
1349-T,アジア債券,東証,10060.00,10120.00,10060.00,10120.00,190,1920600
1352-T,ホウスイ,東証1部,85.00,87.00,85.00,86.00,7000,603000
1376-J,カネコ種,JQスタンダード,744.00,744.00,739.00,744.00,3500,2602300
1377-T,サカタのタネ,東証1部,1140.00,1147.00,1134.00,1134.00,54500,62208000
1378-T,雪国マイタケ,東証2部,471.00,474.00,470.00,470.00,6100,2870400
1379-T,ホクト,東証1部,1762.00,1796.00,1762.00,1780.00,57100,101847200
1380-J,秋川牧園,JQスタンダード,,,,,0,0
1381-J,アクシーズ,JQスタンダード,,,,,0,0
1382-J,ホーブ,JQスタンダード,150000.00,150000.00,150000.00,150000.00,1,150000
1400-J,ルーデン,JQグロース,6870.00,6910.00,6870.00,6910.00,17,117270
1401-F,エムビーエス,福証Q-Board,1172.00,1172.00,1172.00,1172.00,200,234400
1405-T,サーラ住宅,東証2部,354.00,366.00,354.00,366.00,1500,538600
1407-J,ウエストHD,JQスタンダード,1340.00,1392.00,1318.00,1361.00,1228700,1667030800
1408-J,サムシングHD,JQグロース,155000.00,159000.00,147000.00,151400.00,252,38203600
1412-T,チャイナボーチ,東証1部外国,8020.00,8090.00,8000.00,8020.00,365,2926480
1414-T,ショーボンド,東証1部,1925.00,1941.00,1906.00,1906.00,152500,292279700
1417-T,ミライトHD,東証1部,607.00,633.00,607.00,633.00,89800,55769600
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,96.00,96.00,94.00,96.00,7600,721500
1491-T,中外鉱,東証2部,26.00,27.00,26.00,26.00,197800,5257600
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,105.00,107.00,104.00,106.00,700500,74258400
1515-T,日鉄鉱,東証1部,344.00,351.00,343.00,343.00,155000,53624000
1518-T,三井松,東証1部,174.00,182.00,173.00,182.00,7214000,1286718000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,4015.00,4035.00,4010.00,4035.00,31869,128158765
1541-T,純プラ信,東証,4705.00,4725.00,4700.00,4725.00,771,3625800
1542-T,純銀信託,東証,9730.00,9780.00,9720.00,9770.00,13258,129305900
1543-T,純パラ信,東証,19850.00,19980.00,19850.00,19980.00,155,3082050
1544-T,上場MSジ,東証,520.00,520.00,520.00,520.00,10,5200
1545-O,NASDAQ投,大証,1909.00,1928.00,1909.00,1928.00,10720,20583150
1546-O,NYダウ30,大証,10250.00,10390.00,10250.00,10390.00,2586,26717470
1547-T,上場米国,東証,1134.00,1154.00,1134.00,1143.00,1260,1436110
1548-T,上場チャイナ,東証,952.00,967.00,949.00,967.00,1040,999070
1549-T,上場インド,東証,870.00,870.00,853.00,870.00,1440,1243550
1550-T,MXS外株,東証,1090.00,1096.00,1084.00,1096.00,1160,1265860
1551-O,JASDAQ20,大証,1554.00,1568.00,1553.00,1565.00,2450,3819610
1552-O,VIX短期,大証,7110.00,7110.00,6980.00,7000.00,6006,42263910
1554-T,上場MS世,東証,990.00,999.00,988.00,997.00,590,587230
1555-T,上場Aリート,東証,1020.00,1028.00,1020.00,1028.00,2770,2842930
1556-T,上場日中,東証,984.00,1002.00,984.00,1002.00,5030,5008760
1557-T,SPDR500,東証,10850.00,10950.00,10850.00,10950.00,2260,24644500
1559-T,タイSET50,東証,1950.00,1959.00,1950.00,1959.00,794,1550070
1560-T,ブルサKLCI,東証,4135.00,4160.00,4135.00,4160.00,15,62210
1605-T,国際帝石,東証1部,573000.00,588000.00,571000.00,588000.00,17600,10273204000
1606-T,海洋掘削,東証1部,2747.00,2788.00,2731.00,2786.00,38800,107689400
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,109.00,109.00,109.00,109.00,1000,109000
1613-T,電機,東証,1239.00,1240.00,1239.00,1240.00,140,173510
1615-T,銀行,東証,113.00,115.00,113.00,115.00,2261000,256972000
1617-T,食品,東証,12900.00,13030.00,12900.00,13030.00,514,6682880
1618-T,エネ資源,東証,13010.00,13400.00,13010.00,13400.00,215,2863670
1619-T,建設資材,東証,11900.00,12020.00,11900.00,12020.00,523,6258160
