,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
0,E00097,numberofsubmissiondei,1,FilingDateInstant,Instant,2014-06-25,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
1,E00097,netsalessummaryofbusinessresults,67405000000,Prior4YearDuration,Duration,2009-04-01:2010-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
2,E00097,netsalessummaryofbusinessresults,56051000000,Prior3YearDuration,Duration,2010-04-01:2011-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
3,E00097,netsalessummaryofbusinessresults,51101000000,Prior2YearDuration,Duration,2011-04-01:2012-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
4,E00097,netsalessummaryofbusinessresults,58228000000,Prior1YearDuration,Duration,2012-04-01:2013-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
5,E00097,netsalessummaryofbusinessresults,72434000000,CurrentYearDuration,Duration,2013-04-01:2014-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
6,E00097,ordinaryincomelosssummaryofbusinessresults,676000000,Prior4YearDuration,Duration,2009-04-01:2010-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
7,E00097,ordinaryincomelosssummaryofbusinessresults,404000000,Prior3YearDuration,Duration,2010-04-01:2011-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
8,E00097,ordinaryincomelosssummaryofbusinessresults,961000000,Prior2YearDuration,Duration,2011-04-01:2012-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
9,E00097,ordinaryincomelosssummaryofbusinessresults,1948000000,Prior1YearDuration,Duration,2012-04-01:2013-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
10,E00097,ordinaryincomelosssummaryofbusinessresults,4411000000,CurrentYearDuration,Duration,2013-04-01:2014-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
11,E00097,netincomelosssummaryofbusinessresults,286000000,Prior4YearDuration,Duration,2009-04-01:2010-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
12,E00097,netincomelosssummaryofbusinessresults,176000000,Prior2YearDuration,Duration,2011-04-01:2012-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
13,E00097,netincomelosssummaryofbusinessresults,1281000000,Prior1YearDuration,Duration,2012-04-01:2013-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008MHM&amp;lgKbn=2&/E01EW/download?1462907586703
