,Date,DateOrdinary,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
0,2010-03-31,733862,E01794,cashanddeposits,90245000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
1,2011-03-31,734227,E01794,cashanddeposits,47566000000,CurrentYearConsolidatedInstant,Instant,2011-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
2,2010-03-31,733862,E01794,notesandaccountsreceivabletrade,70800000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
3,2011-03-31,734227,E01794,notesandaccountsreceivabletrade,65247000000,CurrentYearConsolidatedInstant,Instant,2011-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
4,2010-03-31,733862,E01794,merchandiseandfinishedgoods,25218000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
5,2011-03-31,734227,E01794,merchandiseandfinishedgoods,27864000000,CurrentYearConsolidatedInstant,Instant,2011-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
6,2010-03-31,733862,E01794,workinprocess,10211000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
7,2011-03-31,734227,E01794,workinprocess,11522000000,CurrentYearConsolidatedInstant,Instant,2011-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
8,2010-03-31,733862,E01794,rawmaterialsandsupplies,19621000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
9,2011-03-31,734227,E01794,rawmaterialsandsupplies,20230000000,CurrentYearConsolidatedInstant,Instant,2011-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
10,2010-03-31,733862,E01794,deferredtaxassetsca,5808000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
11,2011-03-31,734227,E01794,deferredtaxassetsca,5530000000,CurrentYearConsolidatedInstant,Instant,2011-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
12,2010-03-31,733862,E01794,otherca,13845000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
13,2011-03-31,734227,E01794,otherca,13202000000,CurrentYearConsolidatedInstant,Instant,2011-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008RO2&amp;lgKbn=2&/E01EW/download?1463339285808
