,EDINET Code,Submitter Name,IsRecorded_try0,IsRecorded_try1,IsRecorded_try2,IsRecorded_try3,IsRecorded_try4,IsRecorded
0,E00004,カネコ種苗株式会社,1,0,0,0,0,1
1,E00006,株式会社　サカタのタネ,1,0,0,0,0,1
2,E00007,株式会社雪国まいたけ,1,0,0,0,0,1
3,E00008,ホクト株式会社,1,0,0,0,0,1
4,E00009,株式会社アクシーズ,1,0,0,0,0,1
5,E00010,株式会社ホーブ,1,0,0,0,0,1
6,E00011,住友林業株式会社,1,0,0,0,0,1
7,E00012,株式会社　極洋,1,0,0,0,0,1
8,E00013,株式会社マルハニチロ食品,0,0,0,0,0,0
9,E00014,日本水産株式会社,1,0,0,0,0,1
10,E00015,マルハニチロ株式会社,1,0,0,0,0,1
11,E00017,株式会社ホウスイ,1,0,0,0,0,1
12,E00020,株式会社マルハニチロホールディングス,1,0,0,0,0,1
13,E00021,三菱マテリアル株式会社,1,0,0,0,0,1
14,E00023,住友金属鉱山株式会社,1,0,0,0,0,1
15,E00024,三井金属鉱業株式会社,1,0,0,0,0,1
16,E00026,日本精鉱株式会社,1,0,0,0,0,1
17,E00027,中外鉱業株式会社,1,0,0,0,0,1
18,E00028,ＤＯＷＡホールディングス株式会社,1,0,0,0,0,1
19,E00030,日本コークス工業株式会社,1,0,0,0,0,1
20,E00031,住石マテリアルズ株式会社,0,0,0,0,0,0
21,E00032,古河機械金属株式会社,1,0,0,0,0,1
22,E00033,常磐興産株式会社,1,0,0,0,0,1
23,E00034,太平洋興発株式会社,1,0,0,0,0,1
24,E00035,株式会社ニッチツ,1,0,0,0,0,1
25,E00036,日鉄鉱業株式会社,1,0,0,0,0,1
26,E00037,三井松島産業株式会社,1,0,0,0,0,1
27,E00040,関東天然瓦斯開発株式会社,1,0,0,0,0,1
28,E00041,石油資源開発株式会社,1,0,0,0,0,1
29,E00043,国際石油開発帝石株式会社,1,0,0,0,0,1
30,E00045,大室温泉株式会社,0,0,0,0,0,0
31,E00048,大和ハウス工業株式会社,1,0,0,0,0,1
32,E00049,株式会社ＮＩＰＰＯ,1,0,0,0,0,1
33,E00050,日本コムシス株式会社,0,0,0,0,0,0
34,E00051,前田建設工業株式会社,1,0,0,0,0,1
35,E00052,大成建設株式会社,1,0,0,0,0,1
36,E00053,清水建設株式会社,1,0,0,0,0,1
37,E00055,株式会社大林組,1,0,0,0,0,1
38,E00056,株式会社　熊谷組,1,0,0,0,0,1
39,E00058,鹿島建設株式会社,1,0,0,0,0,1
40,E00059,日本国土開発株式会社,0,0,0,0,0,0
41,E00060,西松建設株式会社,1,0,0,0,0,1
42,E00061,前田道路株式会社,1,0,0,0,0,1
43,E00063,飛島建設株式会社,1,0,0,0,0,1
44,E00064,松井建設株式会社,1,0,0,0,0,1
45,E00065,鉄建建設株式会社,1,0,0,0,0,1
46,E00066,東亜道路工業株式会社,1,0,0,0,0,1
47,E00067,日本道路株式会社,1,0,0,0,0,1
48,E00069,株式会社錢高組,1,0,0,0,0,1
49,E00070,日鉄住金テックスエンジ株式会社,1,0,0,0,0,1
50,E00073,株式会社中電工,1,0,0,0,0,1
51,E00074,株式会社関電工,1,0,0,0,0,1
52,E00075,株式会社きんでん,1,0,0,0,0,1
53,E00076,株式会社トーエネック,1,0,0,0,0,1
54,E00078,日本工営株式会社,1,0,0,0,0,1
55,E00079,徳倉建設株式会社,1,0,0,0,0,1
56,E00080,東亜建設工業株式会社,1,0,0,0,0,1
57,E00081,若築建設株式会社,1,0,0,0,0,1
58,E00082,東洋建設株式会社,1,0,0,0,0,1
59,E00083,株式会社奥村組,1,0,0,0,0,1
60,E00085,三井住友建設株式会社,1,0,0,0,0,1
61,E00086,五洋建設株式会社,1,0,0,0,0,1
62,E00088,安藤建設株式会社,0,0,0,0,0,0
63,E00090,株式会社　長谷工コーポレーション,1,0,0,0,0,1
64,E00091,中央ビルト工業株式会社,1,0,0,0,0,1
65,E00092,株式会社東京エネシス,1,0,0,0,0,1
66,E00093,大末建設株式会社,1,0,0,0,0,1
67,E00094,株式会社協和エクシオ,1,0,0,0,0,1
68,E00095,大豊建設株式会社,1,0,0,0,0,1
69,E00097,株式会社不動テトラ,1,0,0,0,0,1
70,E00098,ライト工業株式会社,1,0,0,0,0,1
71,E00099,鈴縫工業株式会社,1,0,0,0,0,1
72,E00101,サンユー建設株式会社,1,0,0,0,0,1
73,E00105,株式会社ナカノフドー建設,1,0,0,0,0,1
74,E00107,三機工業株式会社,1,0,0,0,0,1
75,E00109,三晃金属工業株式会社,1,0,0,0,0,1
76,E00111,大和小田急建設株式会社,1,0,0,0,0,1
77,E00112,東鉄工業株式会社,1,0,0,0,0,1
78,E00113,太平電業株式会社,1,0,0,0,0,1
79,E00114,住友電設株式会社,1,0,0,0,0,1
80,E00115,日本電設工業株式会社,1,0,0,0,0,1
81,E00116,技研興業株式会社,1,0,0,0,0,1
82,E00117,株式会社イチケン,1,0,0,0,0,1
83,E00118,南海辰村建設株式会社,1,0,0,0,0,1
