Date of download data creation,As of 2016.05.14,Number of data,9900
EDINET Code,Type of Submitter,Listed company / Unlisted company,Consolidated / NonConsolidated,Capital stock,account closing date,Submitter Name,Submitter Name（alphabetic）,Submitter Name（phonetic）,Province,Submitter's industry,Securities Identification Code
"E00004","内国法人・組合","Listed company","Consolidated","1491"," 5.31","カネコ種苗株式会社","KANEKO SEEDS CO., LTD.","カネコシュビョウカブシキガイシャ","前橋市古市町一丁目５０番地１２","Fishery, Agriculture & Forestry","13760"
"E00006","内国法人・組合","Listed company","Consolidated","13500"," 5.31","株式会社　サカタのタネ","SAKATA SEED CORPORATION","カブシキガイシャ　サカタノタネ","横浜市都筑区仲町台２－７－１","Fishery, Agriculture & Forestry","13770"
"E00007","内国法人・組合","Unlisted company","Consolidated","1605"," 3.31","株式会社雪国まいたけ","YUKIGUNI MAITAKE CO.,LTD","カブシキガイシャユキグニマイタケ","南魚沼市余川８９番地","Fishery, Agriculture & Forestry","13780"
"E00008","内国法人・組合","Listed company","Consolidated","5500"," 3.31","ホクト株式会社","HOKUTO CORPORATION","ホクトカブシキガイシャ","長野市南堀１３８番地１","Fishery, Agriculture & Forestry","13790"
"E00009","内国法人・組合","Listed company","Consolidated","452"," 6.30","株式会社アクシーズ","AXYZ Co., Ltd","カブシキガイシャアクシーズ","鹿児島市草牟田二丁目１番８号","Fishery, Agriculture & Forestry","13810"
"E00010","内国法人・組合","Listed company","Consolidated","421"," 6.30","株式会社ホーブ","HOB Co.,Ltd.","カブシキガイシャホーブ","上川郡東神楽町１４号北１番地","Fishery, Agriculture & Forestry","13820"
"E00011","内国法人・組合","Listed company","Consolidated","27672"," 3.31","住友林業株式会社","Sumitomo Forestry Co.,Ltd.","スミトモリンギョウカブシキガイシャ","千代田区大手町一丁目３番２号","Construction","19110"
"E00012","内国法人・組合","Listed company","Consolidated","5664"," 3.31","株式会社　極洋","KYOKUYO CO., LTD.","カブシキガイシャ　キョクヨウ","港区赤坂三丁目３番５号","Fishery, Agriculture & Forestry","13010"
"E00013","内国法人・組合","Unlisted company","NonConsolidated","12224"," 3.31","株式会社マルハニチロ食品","Maruha Nichiro Foods,Inc.","カブシキガイシャマルハニチロショクヒン","江東区豊洲三丁目２番２０号","Fishery, Agriculture & Forestry",""
"E00014","内国法人・組合","Listed company","Consolidated","23729"," 3.31","日本水産株式会社","Nippon Suisan Kaisha, Ltd.","ニッポンスイサンカブシキガイシャ","港区西新橋一丁目３番１号","Fishery, Agriculture & Forestry","13320"
"E00015","内国法人・組合","Listed company","Consolidated","20000"," 3.31","マルハニチロ株式会社","","マルハニチロカブシキガイシャ","江東区豊洲三丁目２番２０号","Fishery, Agriculture & Forestry","13330"
"E00017","内国法人・組合","Listed company","Consolidated","2005"," 3.31","株式会社ホウスイ","HOHSUI  CORPORATION","カブシキガイシャホウスイ","中央区築地五丁目２番１号","Wholesale Trade","13520"
"E00020","内国法人・組合","Listed company","Consolidated","31000"," 3.31","株式会社マルハニチロホールディングス","Maruha Nichiro Holdings, Inc.","カブシキガイシャマルハニチロホールディングス","江東区豊洲三丁目２番２０号","Fishery, Agriculture & Forestry","13340"
"E00021","内国法人・組合","Listed company","Consolidated","119457"," 3.31","三菱マテリアル株式会社","MITSUBISHI MATERIALS CORPORATION","ミツビシマテリアルカブシキガイシャ","千代田区大手町一丁目３番２号","Nonferrous Metals","57110"
"E00023","内国法人・組合","Listed company","Consolidated","93242"," 3.31","住友金属鉱山株式会社","Sumitomo Metal Mining Co., Ltd.","スミトモキンゾクコウザンカブシキカイシャ","港区新橋５丁目１１番３号","Nonferrous Metals","57130"
"E00024","内国法人・組合","Listed company","Consolidated","42129"," 3.31","三井金属鉱業株式会社","Mitsui Mining and Smelting Company, Limited","ミツイキンゾクコウギョウカブシキガイシャ","品川区大崎一丁目１１番１号","Nonferrous Metals","57060"
"E00026","内国法人・組合","Listed company","Consolidated","1018"," 3.31","日本精鉱株式会社","NIHON SEIKO CO.,LTD.","ニホンセイコウカブシキガイシャ","新宿区下宮比町３－２","Nonferrous Metals","57290"
"E00027","内国法人・組合","Listed company","Consolidated","12782"," 3.31","中外鉱業株式会社","Chugai Mining Co.,Ltd.","チュウガイコウギョウカブシキガイシャ","千代田区丸の内２丁目４番１号","Nonferrous Metals","14910"
"E00028","内国法人・組合","Listed company","Consolidated","36437"," 3.31","ＤＯＷＡホールディングス株式会社","DOWA HOLDINGS CO.,LTD.","ドウワホールディングスカブシキガイシャ","千代田区外神田四丁目１４番１号","Nonferrous Metals","57140"
"E00030","内国法人・組合","Listed company","Consolidated","7000"," 3.31","日本コークス工業株式会社","NIPPON COKE & ENGINEERING CO., LTD.","ニホンコークスコウギョウカブシキガイシャ","江東区豊洲三丁目３番３号","Oil & Coal Products","33150"
"E00031","内国法人・組合（有価証券報告書等の提出義務者以外）","","","100","","住石マテリアルズ株式会社","","スミセキマテリアルズカブシキガイシャ","港区新橋六丁目１６番１２号","Others",""
"E00032","内国法人・組合","Listed company","Consolidated","28208"," 3.31","古河機械金属株式会社","FURUKAWA CO.,LTD.","フルカワキカイキンゾクカブシキガイシャ","千代田区丸の内二丁目２番３号","Nonferrous Metals","57150"
"E00033","内国法人・組合","Listed company","Consolidated","2141"," 3.31","常磐興産株式会社","Joban Kosan Co.,Ltd.","ジョウバンコウサンカブシキガイシャ","いわき市常磐藤原町蕨平５０番地","Services","96750"
"E00034","内国法人・組合","Listed company","Consolidated","3782"," 3.31","太平洋興発株式会社","TAIHEIYO KOUHATSU INCORPORATED","タイヘイヨウコウハツカブシキガイシャ","台東区元浅草二丁目６番７号","Wholesale Trade","88350"
"E00035","内国法人・組合","Listed company","Consolidated","1100"," 3.31","株式会社ニッチツ","NITCHITSU CO.,LTD.","カブシキガイシャニッチツ","港区赤坂一丁目１１番３０号","Machinery","70210"
"E00036","内国法人・組合","Listed company","Consolidated","4176"," 3.31","日鉄鉱業株式会社","Nittetsu Mining CO.,Ltd.","ニッテツコウギョウカブシキガイシャ","千代田区丸の内二丁目３番２号","Mining","15150"
"E00037","内国法人・組合","Listed company","Consolidated","8571"," 3.31","三井松島産業株式会社","MITSUI MATSUSHIMA Co.,LTD","ミツイマツシマサンギョウカブシキガイシャ","福岡市中央区大手門一丁目１番１２号","Mining","15180"
"E00040","内国法人・組合","Unlisted company","Consolidated","7902","12.31","関東天然瓦斯開発株式会社","Kanto Natural Gas Development. Co., Ltd.","カントウテンネンガスカイハツカブシキガイシャ","茂原市茂原６６１番地","Mining","16610"
"E00041","内国法人・組合","Listed company","Consolidated","14288"," 3.31","石油資源開発株式会社","Japan Petroleum Exploration Co., Ltd.","セキユシゲンカイハツカブシキガイシャ","千代田区丸の内一丁目７番１２号","Mining","16620"
"E00043","内国法人・組合","Listed company","Consolidated","290809"," 3.31","国際石油開発帝石株式会社","INPEX CORPORATION","コクサイセキユカイハツテイセキカブシキガイシャ","港区赤坂五丁目３番１号","Mining","16050"
"E00045","内国法人・組合","Unlisted company","NonConsolidated","68"," 3.31","大室温泉株式会社","Omuro spa Co. , Ltd","オオムロオンセンカブシキガイシャ","伊東市富戸字先原１３１７番４５６２","Mining",""
"E00048","内国法人・組合","Listed company","Consolidated","161699"," 3.31","大和ハウス工業株式会社","DAIWA HOUSE INDUSTRY CO., LTD.","ダイワハウスコウギョウカブシキガイシャ","大阪市北区梅田三丁目３番５号","Construction","19250"
"E00049","内国法人・組合","Listed company","Consolidated","15324"," 3.31","株式会社ＮＩＰＰＯ","NIPPO CORPORATION","カブシキガイシャニッポ","中央区八重洲一丁目２番１６号","Construction","18810"
"E00050","内国法人・組合（有価証券報告書等の提出義務者以外）","","","31140","","日本コムシス株式会社","","ニッポンコムシスカブシキガイシャ","品川区東五反田２丁目１７番１号","Others",""
"E00051","内国法人・組合","Listed company","Consolidated","23454"," 3.31","前田建設工業株式会社","MAEDA CORPORATION","マエダケンセツコウギョウカブシキガイシャ","千代田区富士見二丁目１０番２号","Construction","18240"
"E00052","内国法人・組合","Listed company","Consolidated","122742"," 3.31","大成建設株式会社","taisei corporation","タイセイケンセツカブシキガイシャ","新宿区西新宿一丁目２５番１号","Construction","18010"
"E00053","内国法人・組合","Listed company","Consolidated","74365"," 3.31","清水建設株式会社","SHIMIZU CORPORATION","シミズケンセツカブシキガイシャ","中央区京橋二丁目１６番１号","Construction","18030"
"E00055","内国法人・組合","Listed company","Consolidated","57752"," 3.31","株式会社大林組","OBAYASHI  CORPORATION","カブシキガイシャオオバヤシグミ","港区港南二丁目１５番２号","Construction","18020"
"E00056","内国法人・組合","Listed company","Consolidated","13341"," 3.31","株式会社　熊谷組","Kumagaigumi Co.,Ltd.","カブシキガイシャクマガイグミ","福井市中央２丁目６番８号","Construction","18610"
"E00058","内国法人・組合","Listed company","Consolidated","81447"," 3.31","鹿島建設株式会社","KAJIMA  CORPORATION","カジマケンセツカブシキガイシャ","港区元赤坂一丁目３番１号","Construction","18120"
"E00059","内国法人・組合","Unlisted company","Consolidated","5012"," 5.31","日本国土開発株式会社","JDC CORPORATION","ニホンコクドカイハツカブシキガイシャ","港区赤坂四丁目９番９号","Construction",""
"E00060","内国法人・組合","Listed company","Consolidated","23513"," 3.31","西松建設株式会社","Nishimatsu Construction  Co., Ltd.","ニシマツケンセツカブシキガイシャ","港区虎ノ門一丁目２３番１号","Construction","18200"
"E00061","内国法人・組合","Listed company","Consolidated","19350"," 3.31","前田道路株式会社","MAEDA ROAD CONSTRUCTION CO.,LTD.","マエダドウロカブシキガイシャ","品川区大崎１丁目１１番３号","Construction","18830"
